,kategori,gejala,gejala_tokens,gejala_tokens_fdist,gejala_tokens_WSW,gejala_tokens_stemmed
32,kulit dan kelamin,atau berwarna biru kemerahan lebam nyeri tekan ungu,"['atau', 'berwarna', 'biru', 'kemerahan', 'lebam', 'nyeri', 'tekan', 'ungu']",<FreqDist with 8 samples and 8 outcomes>,"['berwarna', 'biru', 'kemerahan', 'lebam', 'nyeri', 'tekan', 'ungu']","['warna', 'biru', 'merah', 'lebam', 'nyeri', 'tekan', 'ungu']"
33,pernapasan,batuk demam napas sesak,"['batuk', 'demam', 'napas', 'sesak']",<FreqDist with 4 samples and 4 outcomes>,"['batuk', 'demam', 'napas', 'sesak']","['batuk', 'demam', 'napas', 'sesak']"
34,kulit dan kelamin,besar dari klitoris menyerupai penis perut rongga sampai testis tidak turun yang,"['besar', 'dari', 'klitoris', 'menyerupai', 'penis', 'perut', 'rongga', 'sampai', 'testis', 'tidak', 'turun', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['klitoris', 'menyerupai', 'penis', 'perut', 'rongga', 'testis', 'turun']","['klitoris', 'rupa', 'penis', 'perut', 'rongga', 'testis', 'turun']"
35,kulit dan kelamin,area bergerombol bintil di kelamin kerak lepuh,"['area', 'bergerombol', 'bintil', 'di', 'kelamin', 'kerak', 'lepuh']",<FreqDist with 7 samples and 7 outcomes>,"['area', 'bergerombol', 'bintil', 'kelamin', 'kerak', 'lepuh']","['area', 'gerombol', 'bintil', 'kelamin', 'kerak', 'lepuh']"
36,pernapasan,bagian belakang hidung ke kepala lendir mengalir sakit tenggorokan tersumbat yang,"['bagian', 'belakang', 'hidung', 'ke', 'kepala', 'lendir', 'mengalir', 'sakit', 'tenggorokan', 'tersumbat', 'yang']",<FreqDist with 11 samples and 11 outcomes>,"['hidung', 'kepala', 'lendir', 'mengalir', 'tenggorokan', 'tersumbat']","['hidung', 'kepala', 'lendir', 'alir', 'tenggorok', 'sumbat']"
37,kepala,kehilangan kepala kesadaran perilaku perubahan sakit,"['kehilangan', 'kepala', 'kesadaran', 'perilaku', 'perubahan', 'sakit']",<FreqDist with 6 samples and 6 outcomes>,"['kehilangan', 'kepala', 'kesadaran', 'perilaku', 'perubahan']","['hilang', 'kepala', 'sadar', 'perilaku', 'ubah']"
38,perut,bab dikendalikan disadari sulit tanpa yang,"['bab', 'dikendalikan', 'disadari', 'sulit', 'tanpa', 'yang']",<FreqDist with 6 samples and 6 outcomes>,"['bab', 'dikendalikan', 'disadari', 'sulit']","['bab', 'kendali', 'sadar', 'sulit']"
39,pernapasan,atau batuk drip hidung lebih minggu nasal post selama tersumbat,"['atau', 'batuk', 'drip', 'hidung', 'lebih', 'minggu', 'nasal', 'post', 'selama', 'tersumbat']",<FreqDist with 10 samples and 10 outcomes>,"['batuk', 'drip', 'hidung', 'minggu', 'nasal', 'post', 'tersumbat']","['batuk', 'drip', 'hidung', 'minggu', 'nasal', 'post', 'sumbat']"
40,infeksi,anus area atau bisul di gatal intens kemerahan pada ruam yang,"['anus', 'area', 'atau', 'bisul', 'di', 'gatal', 'intens', 'kemerahan', 'pada', 'ruam', 'yang']",<FreqDist with 11 samples and 11 outcomes>,"['anus', 'area', 'bisul', 'gatal', 'intens', 'kemerahan', 'ruam']","['anus', 'area', 'bisul', 'gatal', 'intens', 'merah', 'ruam']"
41,kepala,bicara di kehilangan kesadaran lemah pelo salah satu sisi tubuh,"['bicara', 'di', 'kehilangan', 'kesadaran', 'lemah', 'pelo', 'salah', 'satu', 'sisi', 'tubuh']",<FreqDist with 10 samples and 10 outcomes>,"['bicara', 'kehilangan', 'kesadaran', 'lemah', 'pelo', 'salah', 'sisi', 'tubuh']","['bicara', 'hilang', 'sadar', 'lemah', 'pelo', 'salah', 'sisi', 'tubuh']"
42,infeksi,batuk demam napas sesak,"['batuk', 'demam', 'napas', 'sesak']",<FreqDist with 4 samples and 4 outcomes>,"['batuk', 'demam', 'napas', 'sesak']","['batuk', 'demam', 'napas', 'sesak']"
43,infeksi,badan batuk berat darah mengi penurunan,"['badan', 'batuk', 'berat', 'darah', 'mengi', 'penurunan']",<FreqDist with 6 samples and 6 outcomes>,"['badan', 'batuk', 'berat', 'darah', 'mengi', 'penurunan']","['badan', 'batuk', 'berat', 'darah', 'mengi', 'turun']"
44,pernapasan,biru kepala kulit menjadi sakit sesak warna,"['biru', 'kepala', 'kulit', 'menjadi', 'sakit', 'sesak', 'warna']",<FreqDist with 7 samples and 7 outcomes>,"['biru', 'kepala', 'kulit', 'sesak', 'warna']","['biru', 'kepala', 'kulit', 'sesak', 'warna']"
45,infeksi,digerakkan ketika makin pembengkakan rasa sakit sendi terasa yang,"['digerakkan', 'ketika', 'makin', 'pembengkakan', 'rasa', 'sakit', 'sendi', 'terasa', 'yang']",<FreqDist with 9 samples and 9 outcomes>,"['digerakkan', 'pembengkakan', 'sendi']","['gerak', 'bengkak', 'sendi']"
46,infeksi,bengkak dari keluar nanah nyeri payudara,"['bengkak', 'dari', 'keluar', 'nanah', 'nyeri', 'payudara']",<FreqDist with 6 samples and 6 outcomes>,"['bengkak', 'nanah', 'nyeri', 'payudara']","['bengkak', 'nanah', 'nyeri', 'payudara']"
47,kulit dan kelamin,benjolan cokelat dan kulit lesi pada putih,"['benjolan', 'cokelat', 'dan', 'kulit', 'lesi', 'pada', 'putih']",<FreqDist with 7 samples and 7 outcomes>,"['benjolan', 'cokelat', 'kulit', 'lesi', 'putih']","['benjol', 'cokelat', 'kulit', 'lesi', 'putih']"
48,pernapasan,alveoli bronkiolus dan di kapiler lesu letih napas paru peradangan perdarahan sesak,"['alveoli', 'bronkiolus', 'dan', 'di', 'kapiler', 'lesu', 'letih', 'napas', 'paru', 'peradangan', 'perdarahan', 'sesak']",<FreqDist with 12 samples and 12 outcomes>,"['alveoli', 'bronkiolus', 'kapiler', 'lesu', 'letih', 'napas', 'paru', 'peradangan', 'perdarahan', 'sesak']","['alveoli', 'bronkiolus', 'kapiler', 'lesu', 'letih', 'napas', 'paru', 'adang', 'darah', 'sesak']"
49,kulit dan kelamin,bersisik dan gatal kering kulit terasa,"['bersisik', 'dan', 'gatal', 'kering', 'kulit', 'terasa']",<FreqDist with 6 samples and 6 outcomes>,"['bersisik', 'gatal', 'kering', 'kulit']","['sisik', 'gatal', 'kering', 'kulit']"
50,kulit dan kelamin,alis atau bercak berwarna bulu cepat dari jenggot kepala kulit lebih mata muncul pada pucat putih rambut seharusnya uban usia yang,"['alis', 'atau', 'bercak', 'berwarna', 'bulu', 'cepat', 'dari', 'jenggot', 'kepala', 'kulit', 'lebih', 'mata', 'muncul', 'pada', 'pucat', 'putih', 'rambut', 'seharusnya', 'uban', 'usia', 'yang']",<FreqDist with 21 samples and 21 outcomes>,"['alis', 'bercak', 'berwarna', 'bulu', 'cepat', 'jenggot', 'kepala', 'kulit', 'mata', 'muncul', 'pucat', 'putih', 'rambut', 'uban', 'usia']","['alis', 'bercak', 'warna', 'bulu', 'cepat', 'jenggot', 'kepala', 'kulit', 'mata', 'muncul', 'pucat', 'putih', 'rambut', 'uban', 'usia']"
51,perut,demam mual nyeri perut,"['demam', 'mual', 'nyeri', 'perut']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'mual', 'nyeri', 'perut']","['demam', 'mual', 'nyeri', 'perut']"
52,infeksi,gatal kulit mata merata sangat tidak warna,"['gatal', 'kulit', 'mata', 'merata', 'sangat', 'tidak', 'warna']",<FreqDist with 7 samples and 7 outcomes>,"['gatal', 'kulit', 'mata', 'merata', 'warna']","['gatal', 'kulit', 'mata', 'rata', 'warna']"
53,kepala,darah kepala lemah parah sakit tekanan tinggi tubuh yang,"['darah', 'kepala', 'lemah', 'parah', 'sakit', 'tekanan', 'tinggi', 'tubuh', 'yang']",<FreqDist with 9 samples and 9 outcomes>,"['darah', 'kepala', 'lemah', 'parah', 'tekanan', 'tubuh']","['darah', 'kepala', 'lemah', 'parah', 'tekan', 'tubuh']"
54,perut,kembung perut sakit sembelit,"['kembung', 'perut', 'sakit', 'sembelit']",<FreqDist with 4 samples and 4 outcomes>,"['kembung', 'perut', 'sembelit']","['kembung', 'perut', 'sembelit']"
55,pernapasan,batuk bernapas cepat mengonggong serak,"['batuk', 'bernapas', 'cepat', 'mengonggong', 'serak']",<FreqDist with 5 samples and 5 outcomes>,"['batuk', 'bernapas', 'cepat', 'mengonggong', 'serak']","['batuk', 'napas', 'cepat', 'mengonggong', 'serak']"
56,pernapasan,badan batuk berat kering napas penurunan sebab sesak tanpa,"['badan', 'batuk', 'berat', 'kering', 'napas', 'penurunan', 'sebab', 'sesak', 'tanpa']",<FreqDist with 9 samples and 9 outcomes>,"['badan', 'batuk', 'berat', 'kering', 'napas', 'penurunan', 'sesak']","['badan', 'batuk', 'berat', 'kering', 'napas', 'turun', 'sesak']"
57,infeksi,cair dengan diare frekuensi mual muntah sering,"['cair', 'dengan', 'diare', 'frekuensi', 'mual', 'muntah', 'sering']",<FreqDist with 7 samples and 7 outcomes>,"['cair', 'diare', 'frekuensi', 'mual', 'muntah']","['cair', 'diare', 'frekuensi', 'mual', 'muntah']"
58,kulit dan kelamin,cacar demam kepala kulit ruam sakit seperti,"['cacar', 'demam', 'kepala', 'kulit', 'ruam', 'sakit', 'seperti']",<FreqDist with 7 samples and 7 outcomes>,"['cacar', 'demam', 'kepala', 'kulit', 'ruam']","['cacar', 'demam', 'kepala', 'kulit', 'ruam']"
59,kulit dan kelamin,air bercak buang di gatal kelamin kulit muncul putih saat sakit,"['air', 'bercak', 'buang', 'di', 'gatal', 'kelamin', 'kulit', 'muncul', 'putih', 'saat', 'sakit']",<FreqDist with 11 samples and 11 outcomes>,"['air', 'bercak', 'buang', 'gatal', 'kelamin', 'kulit', 'muncul', 'putih']","['air', 'bercak', 'buang', 'gatal', 'kelamin', 'kulit', 'muncul', 'putih']"
60,kepala,dan kehilangan kepala kesadaran mual muntah sakit,"['dan', 'kehilangan', 'kepala', 'kesadaran', 'mual', 'muntah', 'sakit']",<FreqDist with 7 samples and 7 outcomes>,"['kehilangan', 'kepala', 'kesadaran', 'mual', 'muntah']","['hilang', 'kepala', 'sadar', 'mual', 'muntah']"
61,kulit dan kelamin,dan kulit menebal menggelap,"['dan', 'kulit', 'menebal', 'menggelap']",<FreqDist with 4 samples and 4 outcomes>,"['kulit', 'menebal', 'menggelap']","['kulit', 'tebal', 'gelap']"
62,kulit dan kelamin,berbentuk dada dan di gatal kaki lengan oval punggung ruam serta,"['berbentuk', 'dada', 'dan', 'di', 'gatal', 'kaki', 'lengan', 'oval', 'punggung', 'ruam', 'serta']",<FreqDist with 11 samples and 11 outcomes>,"['berbentuk', 'dada', 'gatal', 'kaki', 'lengan', 'oval', 'punggung', 'ruam']","['bentuk', 'dada', 'gatal', 'kaki', 'lengan', 'oval', 'punggung', 'ruam']"
63,kanker,badan benjolan berat dada di mendadak napas nyeri penurunan sesak terasa yang,"['badan', 'benjolan', 'berat', 'dada', 'di', 'mendadak', 'napas', 'nyeri', 'penurunan', 'sesak', 'terasa', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['badan', 'benjolan', 'berat', 'dada', 'mendadak', 'napas', 'nyeri', 'penurunan', 'sesak']","['badan', 'benjol', 'berat', 'dada', 'dadak', 'napas', 'nyeri', 'turun', 'sesak']"
64,kanker,air bertambah buang dalam darah frekuensi kecil nyeri pinggang urine,"['air', 'bertambah', 'buang', 'dalam', 'darah', 'frekuensi', 'kecil', 'nyeri', 'pinggang', 'urine']",<FreqDist with 10 samples and 10 outcomes>,"['air', 'bertambah', 'buang', 'darah', 'frekuensi', 'nyeri', 'pinggang', 'urine']","['air', 'tambah', 'buang', 'darah', 'frekuensi', 'nyeri', 'pinggang', 'urine']"
65,infeksi,bagian berwarna bibir biji bintik cokelat dan di gatal jagung kekuningan kerak lain lokasi membentuk memerah menyebar pada pinggir seukuran tubuh yang,"['bagian', 'berwarna', 'bibir', 'biji', 'bintik', 'cokelat', 'dan', 'di', 'gatal', 'jagung', 'kekuningan', 'kerak', 'lain', 'lokasi', 'membentuk', 'memerah', 'menyebar', 'pada', 'pinggir', 'seukuran', 'tubuh', 'yang']",<FreqDist with 22 samples and 22 outcomes>,"['berwarna', 'bibir', 'biji', 'bintik', 'cokelat', 'gatal', 'jagung', 'kekuningan', 'kerak', 'lokasi', 'membentuk', 'memerah', 'menyebar', 'pinggir', 'seukuran', 'tubuh']","['warna', 'bibir', 'biji', 'bintik', 'cokelat', 'gatal', 'jagung', 'kuning', 'kerak', 'lokasi', 'bentuk', 'merah', 'sebar', 'pinggir', 'ukur', 'tubuh']"
66,infeksi,dan di kulit lepuhan mulut nyeri pada sekitar sensasi terbakar,"['dan', 'di', 'kulit', 'lepuhan', 'mulut', 'nyeri', 'pada', 'sekitar', 'sensasi', 'terbakar']",<FreqDist with 10 samples and 10 outcomes>,"['kulit', 'lepuhan', 'mulut', 'nyeri', 'sensasi', 'terbakar']","['kulit', 'lepuh', 'mulut', 'nyeri', 'sensasi', 'bakar']"
67,kepala,demam kepala leher sakit,"['demam', 'kepala', 'leher', 'sakit']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'kepala', 'leher']","['demam', 'kepala', 'leher']"
68,infeksi,dan demam mual muntah perut sakit,"['dan', 'demam', 'mual', 'muntah', 'perut', 'sakit']",<FreqDist with 6 samples and 6 outcomes>,"['demam', 'mual', 'muntah', 'perut']","['demam', 'mual', 'muntah', 'perut']"
69,jantung,bibir dada dan jari kebiruan nyeri sesak tampak,"['bibir', 'dada', 'dan', 'jari', 'kebiruan', 'nyeri', 'sesak', 'tampak']",<FreqDist with 8 samples and 8 outcomes>,"['bibir', 'dada', 'jari', 'kebiruan', 'nyeri', 'sesak']","['bibir', 'dada', 'jari', 'biru', 'nyeri', 'sesak']"
70,pernapasan,atau batuk bersuara makan napas saat serak suara tersedak,"['atau', 'batuk', 'bersuara', 'makan', 'napas', 'saat', 'serak', 'suara', 'tersedak']",<FreqDist with 9 samples and 9 outcomes>,"['batuk', 'bersuara', 'makan', 'napas', 'serak', 'suara', 'tersedak']","['batuk', 'suara', 'makan', 'napas', 'serak', 'suara', 'sedak']"
71,pernapasan,batuk bernapas serak sulit,"['batuk', 'bernapas', 'serak', 'sulit']",<FreqDist with 4 samples and 4 outcomes>,"['batuk', 'bernapas', 'serak', 'sulit']","['batuk', 'napas', 'serak', 'sulit']"
72,infeksi,atau benjolan biasanya dibawah kecil kulit leher pada tubuh wajah,"['atau', 'benjolan', 'biasanya', 'dibawah', 'kecil', 'kulit', 'leher', 'pada', 'tubuh', 'wajah']",<FreqDist with 10 samples and 10 outcomes>,"['benjolan', 'dibawah', 'kulit', 'leher', 'tubuh', 'wajah']","['benjol', 'bawah', 'kulit', 'leher', 'tubuh', 'wajah']"
73,kepala,berbicara kesulitan lain memahami membaca menulis orang ucapan,"['berbicara', 'kesulitan', 'lain', 'memahami', 'membaca', 'menulis', 'orang', 'ucapan']",<FreqDist with 8 samples and 8 outcomes>,"['berbicara', 'kesulitan', 'memahami', 'membaca', 'menulis', 'orang', 'ucapan']","['bicara', 'sulit', 'paham', 'baca', 'tulis', 'orang', 'ucap']"
74,pernapasan,atau berair berulang hidung indra mampet maupun penciuman penurunan perasa pilek yang,"['atau', 'berair', 'berulang', 'hidung', 'indra', 'mampet', 'maupun', 'penciuman', 'penurunan', 'perasa', 'pilek', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['berair', 'berulang', 'hidung', 'indra', 'mampet', 'penciuman', 'penurunan', 'perasa', 'pilek']","['air', 'ulang', 'hidung', 'indra', 'mampet', 'cium', 'turun', 'asa', 'pilek']"
75,pernapasan,batuk berdahak mengi napas sesak,"['batuk', 'berdahak', 'mengi', 'napas', 'sesak']",<FreqDist with 5 samples and 5 outcomes>,"['batuk', 'berdahak', 'mengi', 'napas', 'sesak']","['batuk', 'dahak', 'mengi', 'napas', 'sesak']"
76,jantung,badan berat dada lelah merasa nyeri penurunan,"['badan', 'berat', 'dada', 'lelah', 'merasa', 'nyeri', 'penurunan']",<FreqDist with 7 samples and 7 outcomes>,"['badan', 'berat', 'dada', 'lelah', 'nyeri', 'penurunan']","['badan', 'berat', 'dada', 'lelah', 'nyeri', 'turun']"
