kategori,gejala
infeksi,"Rasa sakit yang makin terasa ketika sendi digerakkan, pembengkakan sendi"
infeksi,"Nyeri payudara, payudara bengkak, keluar nanah dari payudara"
kulit dan kelamin,"Benjolan putih pada kulit, lesi cokelat dan putih pada kulit"
pernapasan,"Peradangan di bronkiolus, alveoli dan kapiler, sesak napas, letih lesu, perdarahan di paru-paru"
kulit dan kelamin,"Kulit terasa kering, gatal, dan bersisik"
kulit dan kelamin,"Bercak berwarna putih pucat pada kulit, uban pada rambut kepala, bulu mata, alis, atau jenggot yang muncul lebih cepat dari usia seharusnya"
perut,"Demam, mual, nyeri perut"
infeksi,"Kulit sangat gatal, warna kulit tidak merata, mata gatal"
kepala,"Tekanan darah tinggi, tubuh lemah, sakit kepalaÂ yang parah"
perut,"Sakit perut, kembung, sembelit"
pernapasan,"Bernapas cepat, batuk mengonggong, serak"
pernapasan,"Sesak napas, batuk kering, penurunan berat badan tanpa sebab"
infeksi,"Diare cair dengan frekuensi sering, mual, muntah"
kulit dan kelamin,"Demam, sakit kepala, ruam kulit seperti cacar"
kulit dan kelamin,"Muncul bercak putih di kulit kelamin, gatal, sakit saat buang air"
kepala,"Sakit kepala, mual dan muntah, mual, kehilangan kesadaran"
kulit dan kelamin,Kulit menebal dan menggelap
kulit dan kelamin,"Ruam , berbentuk oval, serta gatal di dada, punggung, lengan, dan kaki"
kanker,"Nyeri dada, sesak napas, penurunan berat badan mendadak, benjolan di dada yang terasa nyeri"
kanker,"Darah dalam urine, nyeri pinggang, frekuensi buang air kecil bertambah"
infeksi,"Bintik seukuran biji jagung memerah yang gatal, membentuk kerak berwarna cokelat kekuningan, lokasi di pinggir bibir dan menyebar pada bagian lain tubuh"
infeksi,"Lepuhan kulit di sekitar mulut, sensasi terbakar, dan nyeri pada lepuhan"
kepala,"Demam, sakit kepala, sakit leher"
infeksi,"Sakit perut, demam, mual dan muntah"
jantung,"Bibir dan jari-jari tampak kebiruan, sesak, nyeri dada"
pernapasan,"Suara serak, napas bersuara, tersedak atau batuk saat makan"
pernapasan,"Serak, batuk, sulit bernapas"
infeksi,"Benjolan kecil dibawah kulit, biasanya pada wajah, leher atau tubuh."
kepala,"Kesulitan berbicara, menulis, membaca, memahami ucapan orang lain"
pernapasan,"Pilek yang berulang, hidung mampet maupun berair, penurunan indra penciuman atau perasa"
pernapasan,"Sesak napas, batuk berdahak, mengi"
jantung,"Merasa lelah, penurunan berat badan, nyeri dada"
infeksi,"Bengkak di area infeksi, demam, lelah, muncul ruam"
pernapasan,Tidak bisa mencium bau
kulit dan kelamin,"Pertumbuhan kulit abnormal, benjolan merah"
kulit dan kelamin,"Tumbuh rambut di bagian tubuh yang tidak diinginkan oleh wanita, jerawat, menstruasi yang tidak normal"
kanker,"Benjolan di payudara, penebalan jaringan payudara, payudara berkerut"
infeksi,"Demam, nyeri sendi, nyeri dada"
kepala,"Pusing berputar, mual, telinga berdenging"
pernapasan,"Pusing, lemas, sakit kepala"
infeksi,"Menurunnya kemampuan penciuman, demam, hidung tersumbat"
infeksi,"Suara yang didengar seperti teredam, sulit memahami kata-kata terutata saat di tempat yang berisik, sering meminta orang lain berbicara lebih lambat, jelas, dan keras"
kanker,"Benjolan di leher, suara serak, sulit menelan"
kulit dan kelamin,"Bercak kemerahan, kulit bersisik, gatal"
perut,"Sakit di seluruh perut atau bagian tertentu, kram perut"
kulit dan kelamin,"Sakit di buah zakar (testis) atau pangkal paha, mengalami demam, dan urine berdarah"
kulit dan kelamin,"Sakit saat buang air kecil, rasa gatal pada vagina, keputihan tidak normal dengan warna menyerupai susu"
kulit dan kelamin,"Gatal yang parah (terutama di malam hari), ruam kulit, bintik-bintik seperti jerawat di kulit"
infeksi,"Mata merah, sakit, dan sensitif terhadap cahaya"
perut,"Pusar bodong, demam, sembelit"
kulit dan kelamin,"Ruam kemerahan, lepuh pada kulit dan selaput lendir, demam"
perut,"Darah dalam urine, nyeri pinggang, tubuh lemah"
kepala,"Telinga yang terlipat bergelombang, membengkak, kemerahan"
kanker,"Nyeri tulang, tulang mudah patah, anemia"
kanker,"Sariawan selama beberapa minggu, benjolan aneh dalam mulut, bibir kebas"
kepala,"Gangguan perkembangan, otot lemah atau terlalu kaku"
infeksi,"Kelelahan, nyeri tenggorokan, demam"
jantung,"Pusing, jantung berdebar dengan cepat, sesak napas"
kulit dan kelamin,"Kulit kering atau gatal, bercak merah, kulit bersisik"
kanker,"Batuk berdarah, sesak napas, penurunan berat badan"
kulit dan kelamin,"Kulit kemerahan, lepuh, kulit bengkak"
perut,"Sulit menelan, muntah, tersedak"
kulit dan kelamin,"Nyeri saat berhubungan intim, luka, benjolan, atau keluar cairan dari alat kelamin"
kanker,"Darah dan lendir pada tinja, sembelit"
kulit dan kelamin,"Kulit kepala gatal, bersisik, dan kemerahan"
kanker,"Darah dalam urine, nyeri pinggang, tubuh lemah"
perut,"Feses berdarah, perubahan kebiasaan buang air besar, nyeri perut"
kepala,"Sakit kepala, mati rasa, penglihatan kabur"
kulit dan kelamin,"Benjolan kemerahan di dagu, leher, serta area yang ditumbuhi rambut, gatal, dan kulit berkerak"
kulit dan kelamin,"Bintil kecil di kulit, berbentuk bulat, dan berukuran kecil"
kepala,"Tremor, sakit leher, gerakan leher terbatas"
perut,"Muntahan berwarna merah, cokelat atau hitam, feses berwarna gelap, kondisi perut tidak nyaman"
kulit dan kelamin,"Bercak merah di kulit, gatal, sensasi kesemutan"
kulit dan kelamin,"Ereksi lebih dari empat jam, batang penis yang kaku, nyeri pada penis"
perut,"Benjolan pada perut bayi, usus yang keluar lewat tali pusar, gangguan pergerakan dan pencernaan makanan"
kulit dan kelamin,"Otot menegang, kejang otot, nyeri seperti terbakar saat penetrasi "
kulit dan kelamin,"Aliran urine yang lemah, perasaan mendesak saat berkemih, nyeri berkemih"
kulit dan kelamin,"Bercak dengan tepi memerah seperti cincin, benjolan merah"
infeksi,"Nyeri saat buang air kecil, sensasi terbakar atau gatal waktu pipis, sering ingin pipis"
pernapasan,"Napas pendek, cepat dan tersengal-sengal"
kulit dan kelamin,Bagian bawah mata menjadi gelap atau keunguan
kepala,"Sakit kepala, muntah, gangguan penglihatan"
kulit dan kelamin,"Benjolan memar, demam, nyeri sendi"
pernapasan,Suara yang serak
kanker,"Benjolan yang terasa kenyal, berwarna cokelat, ungu, merah, atau biru, terasa sakit"
infeksi,"Sakit perut, diare disertai darah, mual dan muntah"
kulit dan kelamin,"Muncul ruam kemerahan, bengkak, mengilap, demam, malaise"
kulit dan kelamin,"Keputihan berwarna kuning atau hijau dan berbau, nyeri perut bawah, nyeri berkemih"
kulit dan kelamin,"Bintil-bintil di satu sisi tubuh, luka lepuh hingga koreng, nyeri kronis"
kulit dan kelamin,"Bercak abu kebiruan, rata dengan kulit, dan bisa besar atau kecil"
perut,"Mual, muntah"
kanker,"Menderita infeksi di mulut, kurang protein dan mineral"
kanker,"Benjolan di pipi kiri dan atau kanan, nyeri pada area wajah, kelemahan otot wajah"
pernapasan,"Suara serak atau hilang, sakit tenggorokan, batuk kering"
infeksi,"Sakit tenggorokan, sakit menelan, demam"
kulit dan kelamin,"Bintik seukuran biji jagung memerah yang gatal, membentuk kerak berwarna cokelat kekuningan, lokasi di pinggir bibir dan menyebar pada bagian lain tubuh"
pernapasan,"Napas cepat dan berat, sesak napas, kulit atau kuku yang kebiruan"
kulit dan kelamin,Benjolan putih tertutup di bawah pori-pori kulit
pernapasan,"Hidung tersumbat, hidung berair, bersin-bersin"
perut,"Pembengkakan tubuh, mudah lelah, penurunan berat badan"
kulit dan kelamin,"Kulit kering, pecah-pecah, gatal"
infeksi,"Kulit gatal, bersisik, dan merah"
pernapasan,"Suara berisik saat tidur, berhenti bernapas waktu tidur, kantuk berlebih di siang hari"
kanker,"Pembengkakan kelenjar getah bening,selalu merasa letih, berkeringat di malam hari"
pernapasan,"Mendengkur, tenggorokan kering, mengantuk di siang hari"
infeksi,"Urine keruh, sensasi terbakar, sering ingin buang air kecil"
infeksi,"Demam, diare kronis, sariawan"
perut,"Sakit perut, penurunan berat badan, diare"
perut,"Urine berwarna gelap, nyeri perut, kehilangan selera makan"
kulit dan kelamin,"Demam, sakit tenggorokan, ruam"
perut,"Nyeri perut yang parah, kembung"
kulit dan kelamin,"Bintik atau benjolan bernanah, gatal, bengkak"
kanker,"Rahang bengkak, mati rasa di sekitar wajah, sulit menelan"
perut,"Nyeri perut, mual, muntah"
infeksi,"Pada manusia: Demam, sakit kepala, perilaku agresif, mulut berbusa"
kanker,"Pendarahan dari gusi, sakit tulang, demam"
kanker,"Rahim berukuran besar, bayi baru lahir yang tidak bisa buang air besar atau kecil"
perut,"Nyeri ulu hati, naiknya makanan atau cairan ke mulut, kesulitan menelan"
kulit dan kelamin,"Komedo putih, komedo hitam, benjolan kecil merah dan nyeri saat disentuh."
kulit dan kelamin,"Benjolan dengan permukaan rata berwarna ungu kemerahan, gatal pada area ruam atau benjolan, bercak putih di mulut"
perut,"Cepat lelah, kebingungan, muntah darah"
jantung,"Bercak biru pada kulit (sianosis), napas cepat, detak jantung terlalu cepat"
infeksi,"Kram atau nyeri perut, mual, muntah"
kepala,"Pupil pada satu mata lebih kecil, kelopak mata atas lebih turun, keringat yang lebih sedikit pada satu sisi wajah"
infeksi,"Demam, menggigil, sakit kepala yang parah"
kanker,"Mudah memar, sesak napas, kulit pucat"
kepala,"Sulit berjalan, mudah jatuh, susah bicara dan menelan"
infeksi,"Pembengkakan kelenjar getah bening, nyeri otot, lelah lesu"
kulit dan kelamin,"Perubahan warna atau tekstur kulit,Â sakit pada ulkus, infeksi"
kulit dan kelamin,Keputihan berbau tidak sedap dan berubah warna
kulit dan kelamin,Bercak putih bentuk oval atau tidak beraturan
kepala,"Bagian datar di salah satu sisi atau belakang kepala, telinga tak sejajar, ubun-ubun yang tidak nampak"
infeksi,"Gejala mirip flu, sakit perut, urine yang gelap dan keruh"
jantung,"Nyeri dada, sesak napas, detak jantung cepat"
infeksi,"Mual, muntah, diare"
kulit dan kelamin,"Kutil di area kelamin berbentuk datar, halus, padat berwarna coklat keunguan, rasa gatal, panas, dan nyeri di area benjolan"
kepala,"Menderita infeksi di mulut, kurang protein dan mineral"
kulit dan kelamin,"Nyeri, sensasi terbakar, menyengat, berdenyut di vulva"
kulit dan kelamin,"Benjolan kecil putih di sekitar pipi, hidung, dan dagu"
kanker,"Nyeri dada di dekat tulang rusuk, batuk, sesak napas"
perut,"BAB kurang dari tiga kali seminggu, tinja keras dan kering, mengejan lebih keras saat BAB"
kulit dan kelamin,"Benjolan tipis pada kulit, kulit kasar, kulit kering"
kulit dan kelamin,"Nyeri saat berhubungan seksual, sensasi panas pada vagina, infeksi saluran kemih berulang"
kulit dan kelamin,"Pembengkakan kepala penis saat buang air kecil, kepala penisÂ mengembang pada saat buang air kecil, nyeri"
infeksi,"Demam, sakit kepala, peal-pegal"
infeksi,"Demam, ruam, hidung berair"
kulit dan kelamin,"Demam, nyeri, luka di bibir atau kelamin"
perut,"Perut membengkak, perut buncit, feses berdarah"
infeksi,"Demam, nyeri otot, mual, diare"
jantung,Detak jantung yang terlalu cepat atau berdegup kencang
perut,"Muntah setelah makan, sering merasa lapar, gangguan buang air besar,Â "
perut,"Diare, nyeri saat BAB, BAB berdarahÂ "
kanker,"Tahi lalat yang berubah bentuk, warna, atau ukuran, benjolan kulit yang padat, tampak seperti luka, dan bisa berdarah"
perut,"Darah dan lendir pada tinja, sembelit"
kepala,"DemamÂ lebih dari 38Â°C, gemeter hebat atau menyentakkan tangan dan kaki, pingsan"
kepala,"Kesulitan makan, kesulitan menelan, perkembangan terganggu"
infeksi,"Kejang otot, kaku otot rahang, kaku otot laher"
perut,"Hipertensi, nyeri punggung atau pinggang, darah pada urine"
infeksi,"Tenggorokan gatal atau sakit, nyeri makin parah saat menelan atau berbicara, kesulitan menelan"
perut,"Rasa tidak nyaman di perut, sering sendawa, kembung"
infeksi,"Napas cepat, tekanan darah rendah, penurunan kesadaran"
pernapasan,"Batuk berdahak, demam, sesak napas"
kulit dan kelamin,"Gatal, kemerahan, bentol, ruam"
infeksi,"Wajah kemerahan, benjolan kecil di kulit, rasa terbakar"
jantung,"Detak jantung cepat dan tidak beraturan, mudah lelah, nyeri dada"
kanker,"Demam atau menggigil, lelah terus-menerus, sering infeksi"
perut,"Nyeri atau kram di perut bawah, nyeri tumpul terus-menerus, nyeri menyebar ke punggung dan paha"
perut,"Nyeri, rasa tidak nyaman di ulu hati, kembung, mual"
perut,"Gatal yang berlebihan,kulit dan mata kuning"
kulit dan kelamin,"Muncul ruam merah muda hingga cokelat yang cukup lebar, gatal, kulit pecah-pecah"
infeksi,"Keputihan berwarna kuning atau hijau dan berbau, nyeri perut bawah, nyeri berkemih"
kulit dan kelamin,"Muncul kerak tebal di kulit kepala, kulit kepala berminyak, kulit kepala kemerahan"
kepala,"Demam, sakit kepala, muntah-muntah"
kulit dan kelamin,"Urine keluar secara tidak normal, bentuk penis abnormal"
jantung,"Sulit makan, susah bernapas, tekanan darah tinggi"
kulit dan kelamin,"Kulup tidak dapat kembali ke posisi normal, kulup dan ujung penis bengkak dan terasa sakit, penis berwarna merah atau biru gelap"
perut,"Sakit perut kiri atas, nyeri perut yang menjalar ke bahu kiri, perut terasa penuh"
kulit dan kelamin,Benjolan kecil berwarna merah pada kemaluan yang berubah menjadi luka terbuka (ulkus)
perut,"Kram perut, diare, muntah"
kulit dan kelamin,"Ketombe putih kekuningan dan berminyak di kulit kepala, kulit kemerahan, gatal"
infeksi,"DiareÂ dengan tinja cair dan berbau busuk, kelelahan"
kanker,"Benjolan di sekitar tulang, nyeri tulang, pergerakan tubuh yang terbatas"
kulit dan kelamin,"Kutil di area kelamin, berbentuk seperti kembang kol, kutil dapat menyebar ke anus, skrotum, penis dan paha"
perut,"mual, muntah, rasa lemah, berkurang nafsu makan."
jantung,"Demam tinggi, ruam kulit, mata merah"
kanker,"Nyeri perut, perut bengkak, mual"
infeksi,"Sakit gigi, gigi sensitif terhadap makanan manis, panas, atau dingin, bau mulut"
kulit dan kelamin,"Benjolan kecil dibawah kulit, biasanya pada wajah, leher atau tubuh."
jantung,"Nyeri dada seperti tertimpa beban berat, nyeri yang menjalar ke rahang, sesak napas"
kanker,"Benjolan di leher, infeksi telinga berulang, kehilangan pendengaran"
kepala,"Mata tertutup, pupil yang tidak merespons cahaya, tidak ada respons anggota tubuh kecuali gerakan refleks"
kulit dan kelamin,"Nyeri, kulit merah, kulit membengkak"
kanker,"Pupil berwarna putih, mata merah, mata bengkak"
infeksi,"Demam, nyeri pinggang, nyeri saat berkemih"
perut,"Benjolan, nyeri"
infeksi,"Sakit perut atas, batuk kering, diare"
infeksi,Demam dan menggigil yang berulang
kulit dan kelamin,"Pendarahan vagina secara berlebihan, vagina benjol, cairan vagina encer"
infeksi,"Pembengkakan di kaki, tangan, dada, dan alat kelamin"
jantung,"Kulit, bibir, dan kuku membiru, tidak nafsu makan, jantung berdebar kencang"
infeksi,"Demam, nyeri sendi, nyeri otot"
infeksi,"Demam, kelelahan, dada terasa nyeri"
infeksi,"Demam, sakit kepala, kaku otot"
kulit dan kelamin,"Wajah kemerahan, benjolan kecil di kulit, rasa terbakar"
kulit dan kelamin,"Sendi yang sangat fleksibel (lentur), kulit yang elastis. kulit yang rapuh."
infeksi,"Tubuh lelah, demam, nyeri otot"
kulit dan kelamin,"Luka di sudut mulut, rasa tidak enak di mulut, sensasi terbakar"
infeksi,"Batuk, demam, sakit dada"
kulit dan kelamin,"Kemerahan pada kulit, lepuhan, kulit bersisik"
kulit dan kelamin,"Gatal, hiperpigmentasi, benjolan kecil, padat, dan bulat"
kulit dan kelamin,"Ruam, gatal-gatal, mual"
kulit dan kelamin,"Benjolan kecil, berdaging, dan berbintik"
infeksi,"Kulit kemerahan, kelenjar getah bening bengkak, atau nyeri pada bagian-bagian tubuh tertentu seperti amandel"
jantung,"Tekanan darah rendah, denyut nadi teraba lemah, sulit bernapas"
perut,"Demam, nyeri perut, cepat lelah"
kulit dan kelamin,"Nyeri saat berhubungan seksual, rasa terbakar saat buang air, keputihan yang berbau"
infeksi,"Nyeri, kulit memerah, nanah kering atau darah di kulit yang terbuka"
kanker,"Demam, penurunan berat badan, keringat malam"
kulit dan kelamin,"Sakit saat buang air kecil, penis gatal, nyeri dan berbau"
perut,"Nyeri perut atas yang menjalar ke punggung, penurunan nafsu makan, penurunan berat badan"
kulit dan kelamin,"Muncul bintik berwarna cokelat tua, hitam, merah atau merah muda, berbentuk oval, bulat, datar atau menonjol"
kulit dan kelamin,"Gatal pada area terkena, bintik-bintik kecil di paha atau perut bagian bawah, bercak hitam di celana"
pernapasan,"Pilek dan hidung tersumbat,Â mata berair, gatal, merah (konjungtivitis alergi), bersin"
kulit dan kelamin,"Lesi, ruam merah, kutil di area kelamin"
kulit dan kelamin,"Kulit yang gatal, melepuh, bengkak dan muncul ruam merah"
kanker,"Pembengkakan kelenjar getah bening, demam, keringat malam"
kulit dan kelamin,"Perubahan pada warna, bau, dan jumlah keputihan, gatal di vagina, kemerahan di sekitar vagina"
infeksi,"Pembengkakan dan peradangan pada lokasi infeksi, kerusakan jaringan dan terbentuknya jaringan parut di lokasi infeksi, terbentuknya abses pada lokasi infeksi"
kulit dan kelamin,Muncul bercak putih pada kulit
kanker,"Pembengkakan kelenjar getah bening di leher, lelah, lesu, mual"
perut,"Perubahan pola BAB (seperti diare atau konstipasi), BAB berdarah, penurunan berat badan tanpa sebab"
kanker,"Kuning pada bagian putih mata dan kulit, perut membengkak, penurunan berat badan tanpa sebab"
kulit dan kelamin,"Gatal, ruam"
infeksi,"Perubahan pada warna, bau, dan jumlah keputihan, gatal di vagina, kemerahan di sekitar vagina"
pernapasan,"Bersin, hidung mampet, batuk"
pernapasan,"Ingus yang kental dan berubah warna, hidung tersumbar, nyeri dan bengkak pada mata, pipi, hidung, atau dahi"
infeksi,"Demam, muntah, nyeri perut kanan atas"
kulit dan kelamin,"Nyeri di penis, saat BAB, dan berkemih"
jantung,"Nyeri dada, detak jantung cepat, penurunan kesadaran"
perut,"Benjolan di selangkangan, nyeri, tidak nyaman"
perut,"Diare, kram perut, mual"
kulit dan kelamin,"Bintik merah di kulit, demam, kehilangan nafsu makan"
kepala,"Sakit kepala, mata merah, hidung tersumbat"
infeksi,"Urine berwarna gelap, nyeri perut, kehilangan selera makan"
kulit dan kelamin,Ketidakmampuan menahan keluarnya sperma dan air mani lebih dari 1 menit
kanker,"Nyeri perut atas yang menjalar ke punggung, penurunan nafsu makan, penurunan berat badan"
kepala,"Jaundice, lesu, selalu mengantuk"
kanker,"Benjolan putih pada kulit, lesi cokelat dan putih pada kulit"
infeksi,"Gejala kandidiasis berbeda, tergantung pada daerah terjadinya infeksi. Biasanya adanya bercak putih pada area yang terinfeksi"
infeksi,"Pembengkakan pada wajah, penebalan pada kulit, suhu tubuh rendah"
kepala,"Demam, kaku leher, perubahan kepribadian dan perilaku menjadi gelisah"
pernapasan,"Hidung berair, hidung tersumbat, bersin-bersin"
kulit dan kelamin,"Kesulitan mendapatkan ereksi, kesulitan mempertahankan ereksi, hasrat seksual yang berkurang"
kulit dan kelamin,"Benjolan di dekat lubang vagina, nyeri pada benjolan, demam"
kepala,"Hilangnya kesadaran, kejang otot, air liur yang menetes dan berbuih"
pernapasan,"Batuk kronis yang terjadi tiap hari, batuk darah, mengi"
infeksi,"Sakit perut mendadak, diare cair, diare berdarah"
jantung,"Sesak napas, mudah lelah, pusing atau pingsan mendadak"
infeksi,"Demam, menggigil, sakit kepala"
kepala,"Kelumpuhan, mati rasa atau lemah pada lengan, wajah, dan kaki, terutama pada satu sisi tubuh, kesulitan berbicara, kebingungan"
infeksi,"Batuk, sesak napas, anosmia"
infeksi,"Lelah, demam, sakit tenggorokan"
perut,"Perut kembung dan nyeri, mual, konstipasi"
kanker,"Pembengkakan dan nyeri di dekat area yang terjangkit, melemahnya tulang, mudah lelah"
jantung,"Nyeri dada, nyeri yang menjalar hingga ke punggung, berkeringat"
kulit dan kelamin,"Kulit kepala gatal terus-menerus, terasa ada yang bergerak di kepala, benjolan merah di kulit kepala, leher, dan bahu"
infeksi,"Keputihan abnormal, vagina gatal, nyeri saat berkemih"
jantung,"Nyeri dada, jantung berdebar-debar, sesak napas"
kulit dan kelamin,"Kulit kemerahan, biduran, gatal, pembengkakan bibir"
pernapasan,"Hidung berair, hidung tersumbat, demam"
kulit dan kelamin,"Bintil kecil di kulit, berbentuk bulat, dan berukuran kecil"
kanker,"Benjolan seperti mutiara di atas kulit, muncul bercak seperti bekas luka, bintik-bintik hitam pada kulit"
infeksi,"Kulit melepuh, bisul, keluarnya cacing"
infeksi,"Nyeri gusi, tonjolan diantara gigi, bau mulut yang parah"
infeksi,"Wajah lemah, kelopak mata terkulai, kesulitan menelan"
kulit dan kelamin,"Bercak kulit, rasa kebas pada lesi kulit, mimisan"
kanker,"Perut kembung, cepat kenyang, berat badan turun"
kulit dan kelamin,"Nyeri saat buang air kecil, vagina gatal, iritasi pada daerah kelamin"
kulit dan kelamin,"Rambut menipis bertahap, botak melingkar atau tidak merata, rambut rontok tiba-tiba"
kepala,"Tengkorak belakang kepala hilang, beberapa tulang di sisi atau depan tengkorak hilang"
jantung,"Suara jantung yang abnormal, nyeri dada, sesak napas"
kulit dan kelamin,"Muncul bercak berbentuk koin pada kulit, bercak berwarna cokelat atau merah, terasa gatal"
infeksi,"Diare berat, muntah, rasa lelah berat"
pernapasan,"Sulit bernapas, nyeri dada, detak jantung yang meningkat"
kulit dan kelamin,Area kulit menggelap
infeksi,"Gejala seperti flu, demam tinggi, sesak"
kepala,Ukuran kepala yang lebih kecil secara signifikan daripada normal
kanker,"Benjolan di leher dada perut, perut membesar, sesak napas"
perut,Nyeri secara tiba-tiba di perut kanan atas dan dapat menjalar hingga bahu
infeksi,"Ruam. demam, kelelahan"
kulit dan kelamin,"Kulit seperti terbakar atau tersengat, muncul lepuhan"
kulit dan kelamin,"Gatal, hiperpigmentasi, benjolan kecil, padat, dan bulat"
kepala,"Kesemutan pada tangan dan kaki, kehilangan memori, perubahan perilaku"
infeksi,"Serak, batuk, sulit bernapas"
infeksi,"Nyeri pinggul, pincang atau berjalan berjinjit, demam"
infeksi,"Demam, batuk berdahak, sesak"
infeksi,"Anus gatal, ruam, insomnia"
kanker,"Benjolan payudara, tekstur kulit payudara berubah, nyeri, keluar darah dari puting susu"
kanker,"Pembengkakan kelenjar getah bening di leher, sulit bernapas, demam"
infeksi,"Sakit kepala, nyeri sendi, Â luka lepuh telapak tangan dan kaki"
infeksi,"Kulit gatal, kulit kemerahan"
perut,"Nyeri perut, perut teraba keras, nyeri bertambah buruk saat perubahan posisi"
jantung,"Pingsan, tidak bernapas, denyut nadi tak teraba"
kepala,"Penglihatan ganda, kelopak mata lunglai, kehilangan koordinasi otot"
infeksi,"Payudara memerah dan bengkak, benjolan keras di payudara, payudara nyeriÂ "
kanker,"Kesulitan untuk mulai buang air kecil, aliran urine tidak sederas biasanya, darah di semen atau urine"
pernapasan,"Sesak napas mendadak seperti tenggelam, cemas, berat badan bertambah dengan cepat"
kulit dan kelamin,"Ruam bullâ€™s eye, demam, sakit kepala"
jantung,"Detak jantung cepat, mudah lelah, nyeri dada"
pernapasan,"Batuk, banyak dahak, sesak napas"
kulit dan kelamin,"Luka kecil tanpa rasa sakit pada alat kelamin pria, bengkak pada area kulit sekitar pangkal paha"
kulit dan kelamin,Benjolan hitam di kulit
infeksi,"Ruam merah di tangan dan telapak kaki (terkadang disertai lepuhan dalam mulut), demam"
perut,"Jaundice, mual, sakit perut"
perut,Rasa tidak nyaman di dada atau tenggorokan
jantung,"Sesak napas, mudah lelah, kaki bengkak"
kulit dan kelamin,"Keringat berlebih, terjadi setidaknya sekali dalam seminggu, muncul keringat di kedua sisi tubuh"
pernapasan,"Demam, batuk, sesak napas"
kepala,"Kesulitan berkonsentrasi, sering tersandung atau gangguan berjalan, perubahan suasana hati"
perut,"Rasa panas di dada, nyeri ulu hati, mualÂ "
kulit dan kelamin,"Kulit menebal dan hitam pada bagian yang sering mengalami gesekan atau tekanan, misalnya pada tapak kaki atau telapak tangan, benjolan yang bulat atau berbentuk kerucut pada kulit"
jantung,"Denyut jantung di bawah 60 kali per menit, pingsan, pusing"
perut,"Bayi baru lahir tidak BAB untuk pertama kalinya, muntah hijau atau cokelat, perut bengkak"
