,kategori,penyakit,gejala,gejala_tokens,gejala_tokens_fdist,gejala_tokens_WSW,gejala_tokens_stemmed
23,infeksi,Demam Tifoid (Tipes),air atau besar buang demam diare nyeri perut sulit,"['air', 'atau', 'besar', 'buang', 'demam', 'diare', 'nyeri', 'perut', 'sulit']",<FreqDist with 9 samples and 9 outcomes>,"['air', 'buang', 'demam', 'diare', 'nyeri', 'perut', 'sulit']","['air', 'buang', 'demam', 'diare', 'nyeri', 'perut', 'sulit']"
24,infeksi,Difteri,abu  demam di lapisan pangkal serak suara tenggorokan,"['abu', 'demam', 'di', 'lapisan', 'pangkal', 'serak', 'suara', 'tenggorokan']",<FreqDist with 8 samples and 8 outcomes>,"['abu', 'demam', 'lapisan', 'pangkal', 'serak', 'suara', 'tenggorokan']","['abu', 'demam', 'lapis', 'pangkal', 'serak', 'suara', 'tenggorok']"
25,infeksi,Disentri,atau kram mual muntah nyeri perut,"['atau', 'kram', 'mual', 'muntah', 'nyeri', 'perut']",<FreqDist with 6 samples and 6 outcomes>,"['kram', 'mual', 'muntah', 'nyeri', 'perut']","['kram', 'mual', 'muntah', 'nyeri', 'perut']"
26,infeksi,Divertikulitis,dan demam mual muntah perut sakit,"['dan', 'demam', 'mual', 'muntah', 'perut', 'sakit']",<FreqDist with 6 samples and 6 outcomes>,"['demam', 'mual', 'muntah', 'perut']","['demam', 'mual', 'muntah', 'perut']"
27,infeksi,Dracunculiasis,bisul cacing keluarnya kulit melepuh,"['bisul', 'cacing', 'keluarnya', 'kulit', 'melepuh']",<FreqDist with 5 samples and 5 outcomes>,"['bisul', 'cacing', 'keluarnya', 'kulit', 'melepuh']","['bisul', 'cacing', 'keluar', 'kulit', 'lepuh']"
28,infeksi,Ehrlichiosis,demam kepala menggigil parah sakit yang,"['demam', 'kepala', 'menggigil', 'parah', 'sakit', 'yang']",<FreqDist with 6 samples and 6 outcomes>,"['demam', 'kepala', 'menggigil', 'parah']","['demam', 'kepala', 'gigil', 'parah']"
29,infeksi,Endokarditis,demam jantung menggigil murmur,"['demam', 'jantung', 'menggigil', 'murmur']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'jantung', 'menggigil', 'murmur']","['demam', 'jantung', 'gigil', 'murmur']"
30,infeksi,Enteritis,diare makan muntah nafsu tidak,"['diare', 'makan', 'muntah', 'nafsu', 'tidak']",<FreqDist with 5 samples and 5 outcomes>,"['diare', 'makan', 'muntah', 'nafsu']","['diare', 'makan', 'muntah', 'nafsu']"
31,infeksi,Epiglotitis,demam parah sakit stidor tenggorokan,"['demam', 'parah', 'sakit', 'stidor', 'tenggorokan']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'parah', 'stidor', 'tenggorokan']","['demam', 'parah', 'stidor', 'tenggorok']"
32,infeksi,Faringitis,demam mual muntah,"['demam', 'mual', 'muntah']",<FreqDist with 3 samples and 3 outcomes>,"['demam', 'mual', 'muntah']","['demam', 'mual', 'muntah']"
33,infeksi,Flu Babi,batuk demam radang tenggorokan,"['batuk', 'demam', 'radang', 'tenggorokan']",<FreqDist with 4 samples and 4 outcomes>,"['batuk', 'demam', 'radang', 'tenggorokan']","['batuk', 'demam', 'radang', 'tenggorok']"
34,infeksi,Flu Burung,batuk demam sakit tenggorokan,"['batuk', 'demam', 'sakit', 'tenggorokan']",<FreqDist with 4 samples and 4 outcomes>,"['batuk', 'demam', 'tenggorokan']","['batuk', 'demam', 'tenggorok']"
35,infeksi,Folikulitis,atau bengkak benjolan bernanah bintik gatal,"['atau', 'bengkak', 'benjolan', 'bernanah', 'bintik', 'gatal']",<FreqDist with 6 samples and 6 outcomes>,"['bengkak', 'benjolan', 'bernanah', 'bintik', 'gatal']","['bengkak', 'benjol', 'nanah', 'bintik', 'gatal']"
36,infeksi,Giardiasis,berbau busuk cair dan dengan diare kelelahan tinja,"['berbau', 'busuk', 'cair', 'dan', 'dengan', 'diare', 'kelelahan', 'tinja']",<FreqDist with 8 samples and 8 outcomes>,"['berbau', 'busuk', 'cair', 'diare', 'kelelahan', 'tinja']","['bau', 'busuk', 'cair', 'diare', 'lelah', 'tinja']"
37,infeksi,Gondongan,bengkak kedua kepala leher nyeri sakit sisi tampak wajah,"['bengkak', 'kedua', 'kepala', 'leher', 'nyeri', 'sakit', 'sisi', 'tampak', 'wajah']",<FreqDist with 9 samples and 9 outcomes>,"['bengkak', 'kepala', 'leher', 'nyeri', 'sisi', 'wajah']","['bengkak', 'kepala', 'leher', 'nyeri', 'sisi', 'wajah']"
38,infeksi,HIV dan AIDS,demam diare kronis sariawan,"['demam', 'diare', 'kronis', 'sariawan']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'diare', 'kronis', 'sariawan']","['demam', 'diare', 'kronis', 'sariawan']"
39,infeksi,Hantavirus,demam lelah nyeri otot tubuh,"['demam', 'lelah', 'nyeri', 'otot', 'tubuh']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'lelah', 'nyeri', 'otot', 'tubuh']","['demam', 'lelah', 'nyeri', 'otot', 'tubuh']"
40,infeksi,Hepatitis,dan flu gejala gelap keruh mirip perut sakit urine yang,"['dan', 'flu', 'gejala', 'gelap', 'keruh', 'mirip', 'perut', 'sakit', 'urine', 'yang']",<FreqDist with 10 samples and 10 outcomes>,"['flu', 'gejala', 'gelap', 'keruh', 'perut', 'urine']","['flu', 'gejala', 'gelap', 'keruh', 'perut', 'urine']"
41,infeksi,Hepatitis A,atas biasa dibanding gelap kanan lebih perut sakit urine,"['atas', 'biasa', 'dibanding', 'gelap', 'kanan', 'lebih', 'perut', 'sakit', 'urine']",<FreqDist with 9 samples and 9 outcomes>,"['dibanding', 'gelap', 'kanan', 'perut', 'urine']","['banding', 'gelap', 'kanan', 'perut', 'urine']"
42,infeksi,Hepatitis Akut,dan demam kelelahan mual muntah,"['dan', 'demam', 'kelelahan', 'mual', 'muntah']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'kelelahan', 'mual', 'muntah']","['demam', 'lelah', 'mual', 'muntah']"
43,infeksi,Hepatitis Alkoholik,kuning makan mual nafsu penyakit tidak,"['kuning', 'makan', 'mual', 'nafsu', 'penyakit', 'tidak']",<FreqDist with 6 samples and 6 outcomes>,"['kuning', 'makan', 'mual', 'nafsu', 'penyakit']","['kuning', 'makan', 'mual', 'nafsu', 'sakit']"
44,infeksi,Hepatitis B,berwarna gelap kehilangan makan nyeri perut selera urine,"['berwarna', 'gelap', 'kehilangan', 'makan', 'nyeri', 'perut', 'selera', 'urine']",<FreqDist with 8 samples and 8 outcomes>,"['berwarna', 'gelap', 'kehilangan', 'makan', 'nyeri', 'perut', 'selera', 'urine']","['warna', 'gelap', 'hilang', 'makan', 'nyeri', 'perut', 'selera', 'urine']"
45,infeksi,Hepatitis C,kulit menguning mual muntah,"['kulit', 'menguning', 'mual', 'muntah']",<FreqDist with 4 samples and 4 outcomes>,"['kulit', 'menguning', 'mual', 'muntah']","['kulit', 'kuning', 'mual', 'muntah']"
46,infeksi,Hepatitis D,berwarna gelap kehilangan makan nyeri perut selera urine,"['berwarna', 'gelap', 'kehilangan', 'makan', 'nyeri', 'perut', 'selera', 'urine']",<FreqDist with 8 samples and 8 outcomes>,"['berwarna', 'gelap', 'kehilangan', 'makan', 'nyeri', 'perut', 'selera', 'urine']","['warna', 'gelap', 'hilang', 'makan', 'nyeri', 'perut', 'selera', 'urine']"
47,infeksi,Herpes Simplex Tipe 1,dan di kulit lepuhan mulut nyeri pada sekitar sensasi terbakar,"['dan', 'di', 'kulit', 'lepuhan', 'mulut', 'nyeri', 'pada', 'sekitar', 'sensasi', 'terbakar']",<FreqDist with 10 samples and 10 outcomes>,"['kulit', 'lepuhan', 'mulut', 'nyeri', 'sensasi', 'terbakar']","['kulit', 'lepuh', 'mulut', 'nyeri', 'sensasi', 'bakar']"
48,infeksi,Histoplasmosis,batuk dada demam sakit,"['batuk', 'dada', 'demam', 'sakit']",<FreqDist with 4 samples and 4 outcomes>,"['batuk', 'dada', 'demam']","['batuk', 'dada', 'demam']"
49,infeksi,Impetigo,bagian berwarna bibir biji bintik cokelat dan di gatal jagung kekuningan kerak lain lokasi membentuk memerah menyebar pada pinggir seukuran tubuh yang,"['bagian', 'berwarna', 'bibir', 'biji', 'bintik', 'cokelat', 'dan', 'di', 'gatal', 'jagung', 'kekuningan', 'kerak', 'lain', 'lokasi', 'membentuk', 'memerah', 'menyebar', 'pada', 'pinggir', 'seukuran', 'tubuh', 'yang']",<FreqDist with 22 samples and 22 outcomes>,"['berwarna', 'bibir', 'biji', 'bintik', 'cokelat', 'gatal', 'jagung', 'kekuningan', 'kerak', 'lokasi', 'membentuk', 'memerah', 'menyebar', 'pinggir', 'seukuran', 'tubuh']","['warna', 'bibir', 'biji', 'bintik', 'cokelat', 'gatal', 'jagung', 'kuning', 'kerak', 'lokasi', 'bentuk', 'merah', 'sebar', 'pinggir', 'ukur', 'tubuh']"
50,infeksi,Infeksi Bakteri E. Coli,berdarah cair diare mendadak perut sakit,"['berdarah', 'cair', 'diare', 'mendadak', 'perut', 'sakit']",<FreqDist with 6 samples and 6 outcomes>,"['berdarah', 'cair', 'diare', 'mendadak', 'perut']","['darah', 'cair', 'diare', 'dadak', 'perut']"
51,infeksi,Infeksi Cacing Kremi,anus gatal insomnia ruam,"['anus', 'gatal', 'insomnia', 'ruam']",<FreqDist with 4 samples and 4 outcomes>,"['anus', 'gatal', 'insomnia', 'ruam']","['anus', 'gatal', 'insomnia', 'ruam']"
52,infeksi,Infeksi Cacing Pita (Tapeworm Infection),diare lelah perut sakit,"['diare', 'lelah', 'perut', 'sakit']",<FreqDist with 4 samples and 4 outcomes>,"['diare', 'lelah', 'perut']","['diare', 'lelah', 'perut']"
53,infeksi,Infeksi ESBL,demam makan nafsu nyeri penurunan,"['demam', 'makan', 'nafsu', 'nyeri', 'penurunan']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'makan', 'nafsu', 'nyeri', 'penurunan']","['demam', 'makan', 'nafsu', 'nyeri', 'turun']"
54,infeksi,Infeksi Ginjal,berkemih demam nyeri pinggang saat,"['berkemih', 'demam', 'nyeri', 'pinggang', 'saat']",<FreqDist with 5 samples and 5 outcomes>,"['berkemih', 'demam', 'nyeri', 'pinggang']","['kemih', 'demam', 'nyeri', 'pinggang']"
55,infeksi,Infeksi Jamur,gatal kemerahan kulit,"['gatal', 'kemerahan', 'kulit']",<FreqDist with 3 samples and 3 outcomes>,"['gatal', 'kemerahan', 'kulit']","['gatal', 'merah', 'kulit']"
56,infeksi,Infeksi Luka Pasca Operasi,bau busuk kemerahan nyeri,"['bau', 'busuk', 'kemerahan', 'nyeri']",<FreqDist with 4 samples and 4 outcomes>,"['bau', 'busuk', 'kemerahan', 'nyeri']","['bau', 'busuk', 'merah', 'nyeri']"
57,infeksi,Infeksi MRSA,bengkak berwarna bila demam di disentuh hangat kulit merah teraba,"['bengkak', 'berwarna', 'bila', 'demam', 'di', 'disentuh', 'hangat', 'kulit', 'merah', 'teraba']",<FreqDist with 10 samples and 10 outcomes>,"['bengkak', 'berwarna', 'demam', 'disentuh', 'hangat', 'kulit', 'merah', 'teraba']","['bengkak', 'warna', 'demam', 'sentuh', 'hangat', 'kulit', 'merah', 'aba']"
58,infeksi,Infeksi Norovirus,diare mual muntah,"['diare', 'mual', 'muntah']",<FreqDist with 3 samples and 3 outcomes>,"['diare', 'mual', 'muntah']","['diare', 'mual', 'muntah']"
59,infeksi,Infeksi Parasit,diare kulit perut ruam sakit,"['diare', 'kulit', 'perut', 'ruam', 'sakit']",<FreqDist with 5 samples and 5 outcomes>,"['diare', 'kulit', 'perut', 'ruam']","['diare', 'kulit', 'perut', 'ruam']"
60,infeksi,Infeksi Payudara (Mastitis),bengkak benjolan dan di keras memerah nyeri payudara,"['bengkak', 'benjolan', 'dan', 'di', 'keras', 'memerah', 'nyeri', 'payudara']",<FreqDist with 8 samples and 8 outcomes>,"['bengkak', 'benjolan', 'keras', 'memerah', 'nyeri', 'payudara']","['bengkak', 'benjol', 'keras', 'merah', 'nyeri', 'payudara']"
61,infeksi,Infeksi Saluran Kemih,air buang ingin kecil keruh sensasi sering terbakar urine,"['air', 'buang', 'ingin', 'kecil', 'keruh', 'sensasi', 'sering', 'terbakar', 'urine']",<FreqDist with 9 samples and 9 outcomes>,"['air', 'buang', 'keruh', 'sensasi', 'terbakar', 'urine']","['air', 'buang', 'keruh', 'sensasi', 'bakar', 'urine']"
62,infeksi,Infeksi Saluran Pernapasan Akut (ISPA),atau batuk berair demam hidung tersumbat,"['atau', 'batuk', 'berair', 'demam', 'hidung', 'tersumbat']",<FreqDist with 6 samples and 6 outcomes>,"['batuk', 'berair', 'demam', 'hidung', 'tersumbat']","['batuk', 'air', 'demam', 'hidung', 'sumbat']"
63,infeksi,Infeksi Telinga,cairan dan dari nyeri pada pendengaran penurunan tekanan telinga,"['cairan', 'dan', 'dari', 'nyeri', 'pada', 'pendengaran', 'penurunan', 'tekanan', 'telinga']",<FreqDist with 9 samples and 9 outcomes>,"['cairan', 'nyeri', 'pendengaran', 'penurunan', 'tekanan', 'telinga']","['cair', 'nyeri', 'dengar', 'turun', 'tekan', 'telinga']"
64,infeksi,Infeksi Virus,demam lelah sakit tenggorokan,"['demam', 'lelah', 'sakit', 'tenggorokan']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'lelah', 'tenggorokan']","['demam', 'lelah', 'tenggorok']"
65,infeksi,Infeksi Virus Coxsackie,dan kaki kepala lepuh luka nyeri sakit sendi tangan telapak,"['dan', 'kaki', 'kepala', 'lepuh', 'luka', 'nyeri', 'sakit', 'sendi', 'tangan', 'telapak']",<FreqDist with 10 samples and 10 outcomes>,"['kaki', 'kepala', 'lepuh', 'luka', 'nyeri', 'sendi', 'tangan', 'telapak']","['kaki', 'kepala', 'lepuh', 'luka', 'nyeri', 'sendi', 'tangan', 'telapak']"
66,infeksi,Infeksi Virus West Nile,demam kepala peal pegal sakit,"['demam', 'kepala', 'peal', 'pegal', 'sakit']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'kepala', 'peal', 'pegal']","['demam', 'kepala', 'peal', 'pegal']"
67,infeksi,Infeksi rotavirus,berat diare lelah muntah rasa,"['berat', 'diare', 'lelah', 'muntah', 'rasa']",<FreqDist with 5 samples and 5 outcomes>,"['berat', 'diare', 'lelah', 'muntah']","['berat', 'diare', 'lelah', 'muntah']"
68,infeksi,Jamur Kuku,berubah kuku menebal rapuh warna,"['berubah', 'kuku', 'menebal', 'rapuh', 'warna']",<FreqDist with 5 samples and 5 outcomes>,"['berubah', 'kuku', 'menebal', 'rapuh', 'warna']","['ubah', 'kuku', 'tebal', 'rapuh', 'warna']"
69,infeksi,Kaki Gajah (Filariasis),alat dada dan di kaki kelamin pembengkakan tangan,"['alat', 'dada', 'dan', 'di', 'kaki', 'kelamin', 'pembengkakan', 'tangan']",<FreqDist with 8 samples and 8 outcomes>,"['alat', 'dada', 'kaki', 'kelamin', 'pembengkakan', 'tangan']","['alat', 'dada', 'kaki', 'kelamin', 'bengkak', 'tangan']"
70,infeksi,Kandidiasis,adanya area berbeda bercak biasanya daerah gejala infeksi kandidiasis pada putih tergantung terinfeksi terjadinya yang,"['adanya', 'area', 'berbeda', 'bercak', 'biasanya', 'daerah', 'gejala', 'infeksi', 'kandidiasis', 'pada', 'putih', 'tergantung', 'terinfeksi', 'terjadinya', 'yang']",<FreqDist with 15 samples and 15 outcomes>,"['area', 'berbeda', 'bercak', 'daerah', 'gejala', 'infeksi', 'kandidiasis', 'putih', 'tergantung', 'terinfeksi']","['area', 'beda', 'bercak', 'daerah', 'gejala', 'infeksi', 'kandidiasis', 'putih', 'gantung', 'infeksi']"
71,infeksi,Kandidiasis Vagina,air buang dengan gatal kecil keputihan menyerupai normal pada rasa saat sakit susu tidak vagina warna,"['air', 'buang', 'dengan', 'gatal', 'kecil', 'keputihan', 'menyerupai', 'normal', 'pada', 'rasa', 'saat', 'sakit', 'susu', 'tidak', 'vagina', 'warna']",<FreqDist with 16 samples and 16 outcomes>,"['air', 'buang', 'gatal', 'keputihan', 'menyerupai', 'normal', 'susu', 'vagina', 'warna']","['air', 'buang', 'gatal', 'putih', 'rupa', 'normal', 'susu', 'vagina', 'warna']"
72,infeksi,Kista Epidermoid,atau benjolan biasanya dibawah kecil kulit leher pada tubuh wajah,"['atau', 'benjolan', 'biasanya', 'dibawah', 'kecil', 'kulit', 'leher', 'pada', 'tubuh', 'wajah']",<FreqDist with 10 samples and 10 outcomes>,"['benjolan', 'dibawah', 'kulit', 'leher', 'tubuh', 'wajah']","['benjol', 'bawah', 'kulit', 'leher', 'tubuh', 'wajah']"
73,infeksi,Kista Pilonidal,atau darah di kering kulit memerah nanah nyeri terbuka yang,"['atau', 'darah', 'di', 'kering', 'kulit', 'memerah', 'nanah', 'nyeri', 'terbuka', 'yang']",<FreqDist with 10 samples and 10 outcomes>,"['darah', 'kering', 'kulit', 'memerah', 'nanah', 'nyeri', 'terbuka']","['darah', 'kering', 'kulit', 'merah', 'nanah', 'nyeri', 'buka']"
74,infeksi,Kolera,air beras cucian dehidrasi diare menyerupai muntah,"['air', 'beras', 'cucian', 'dehidrasi', 'diare', 'menyerupai', 'muntah']",<FreqDist with 7 samples and 7 outcomes>,"['air', 'beras', 'cucian', 'dehidrasi', 'diare', 'menyerupai', 'muntah']","['air', 'beras', 'cuci', 'dehidrasi', 'diare', 'rupa', 'muntah']"
75,infeksi,Koma Miksedema,kulit pada pembengkakan penebalan rendah suhu tubuh wajah,"['kulit', 'pada', 'pembengkakan', 'penebalan', 'rendah', 'suhu', 'tubuh', 'wajah']",<FreqDist with 8 samples and 8 outcomes>,"['kulit', 'pembengkakan', 'penebalan', 'rendah', 'suhu', 'tubuh', 'wajah']","['kulit', 'bengkak', 'tebal', 'rendah', 'suhu', 'tubuh', 'wajah']"
76,infeksi,Kriptosporidiosis,cair dengan diare frekuensi mual muntah sering,"['cair', 'dengan', 'diare', 'frekuensi', 'mual', 'muntah', 'sering']",<FreqDist with 7 samples and 7 outcomes>,"['cair', 'diare', 'frekuensi', 'mual', 'muntah']","['cair', 'diare', 'frekuensi', 'mual', 'muntah']"
77,infeksi,Kusta,bercak kebas kulit lesi mimisan pada rasa,"['bercak', 'kebas', 'kulit', 'lesi', 'mimisan', 'pada', 'rasa']",<FreqDist with 7 samples and 7 outcomes>,"['bercak', 'kebas', 'kulit', 'lesi', 'mimisan']","['bercak', 'kebas', 'kulit', 'lesi', 'mimisan']"
78,infeksi,Kutu Kemaluan,area atau bagian bawah bercak bintik celana di gatal hitam kecil pada paha perut terkena,"['area', 'atau', 'bagian', 'bawah', 'bercak', 'bintik', 'celana', 'di', 'gatal', 'hitam', 'kecil', 'pada', 'paha', 'perut', 'terkena']",<FreqDist with 15 samples and 15 outcomes>,"['area', 'bercak', 'bintik', 'celana', 'gatal', 'hitam', 'paha', 'perut', 'terkena']","['area', 'bercak', 'bintik', 'celana', 'gatal', 'hitam', 'paha', 'perut', 'kena']"
79,infeksi,Kutu Rambut,ada bahu benjolan bergerak dan di gatal kepala kulit leher menerus merah terasa terus yang,"['ada', 'bahu', 'benjolan', 'bergerak', 'dan', 'di', 'gatal', 'kepala', 'kulit', 'leher', 'menerus', 'merah', 'terasa', 'terus', 'yang']",<FreqDist with 15 samples and 15 outcomes>,"['bahu', 'benjolan', 'bergerak', 'gatal', 'kepala', 'kulit', 'leher', 'menerus', 'merah']","['bahu', 'benjol', 'gerak', 'gatal', 'kepala', 'kulit', 'leher', 'terus', 'merah']"
80,infeksi,Labirinitis,atau berdenging bergerak diri gangguan merasa pendengaran sekeliling sendiri telinga,"['atau', 'berdenging', 'bergerak', 'diri', 'gangguan', 'merasa', 'pendengaran', 'sekeliling', 'sendiri', 'telinga']",<FreqDist with 10 samples and 10 outcomes>,"['berdenging', 'bergerak', 'gangguan', 'pendengaran', 'sekeliling', 'telinga']","['denging', 'gerak', 'ganggu', 'dengar', 'keliling', 'telinga']"
